HJD-2450000	I_Mag	Err
5261.847389999777	16.352	0.007
5262.882629999891	16.361	0.011
5264.859459999949	16.338	0.008
5266.905999999959	16.351	0.008
5267.90132999979	16.348	0.007
5270.849619999994	16.343	0.007
5272.865989999846	16.378	0.009
5274.853569999803	16.351	0.007
5278.887670000084	16.361	0.006
5282.794209999964	16.357	0.008
5284.832909999881	16.367	0.008
5286.833600000013	16.356	0.009
5294.732210000046	16.359	0.007
5294.7713399999775	16.365	0.006
5294.808420000132	16.356	0.006
5294.845989999827	16.352	0.007
5294.876159999985	16.356	0.006
5294.918120000046	16.349	0.007
5295.773020000197	16.337	0.006
5295.811449999921	16.366	0.006
5295.8493499998	16.344	0.006
5295.888189999852	16.362	0.007
5296.775930000003	16.346	0.006
5296.813449999783	16.359	0.006
5296.850860000122	16.357	0.006
5296.889340000227	16.362	0.006
5297.771850000136	16.363	0.007
5297.809909999836	16.355	0.006
5297.847769999877	16.355	0.006
5297.886460000183	16.342	0.006
5298.772739999928	16.353	0.007
5298.810670000035	16.337	0.006
5298.84842999978	16.343	0.007
5298.887990000192	16.353	0.006
5298.921500000171	16.359	0.007
5299.757459999993	16.363	0.007
5299.7949999999255	16.347	0.004
5299.832880000118	16.322	0.005
5299.871230000164	16.35	0.006
5299.912000000011	16.357	0.006
5300.8661899999715	16.35	0.006
5300.906950000208	16.346	0.007
5301.762000000104	16.352	0.007
5301.799500000197	16.358	0.007
5301.836959999986	16.351	0.008
5301.875669999979	16.359	0.007
5301.915459999815	16.353	0.01
5303.923309999984	16.353	0.007
5304.7616499997675	16.347	0.007
5306.695280000102	16.349	0.007
5306.758040000219	16.347	0.006
5306.796990000177	16.346	0.006
5306.860619999934	16.345	0.007
5306.900200000033	16.354	0.006
5307.68498999998	16.353	0.008
5307.748079999816	16.338	0.007
5307.809570000041	16.358	0.006
5307.84804000007	16.355	0.007
5307.888939999975	16.342	0.006
5307.926370000001	16.348	0.007
5308.738200000022	16.36	0.007
5308.799699999858	16.367	0.007
5308.837150000036	16.34	0.007
5308.878450000193	16.36	0.007
5309.738890000153	16.363	0.007
5309.809400000144	16.34	0.007
5309.853120000102	16.338	0.007
5309.892080000136	16.337	0.006
5309.929359999951	16.354	0.007
5310.719759999774	16.358	0.008
5310.776029999834	16.366	0.007
5310.857400000095	16.357	0.004
5310.889340000227	16.36	0.007
5310.926800000016	16.342	0.006
5311.819910000078	16.346	0.007
5311.87592000002	16.356	0.007
5311.920739999972	16.355	0.007
5312.745920000132	16.35	0.008
5312.788290000055	16.356	0.008
5312.826330000069	16.353	0.008
5312.870579999872	16.357	0.008
5312.910180000123	16.333	0.008
5313.782329999842	16.357	0.009
5313.821200000122	16.36	0.008
5313.860859999899	16.347	0.009
5313.899110000115	16.343	0.008
5314.669979999773	16.356	0.009
5314.710429999977	16.353	0.008
5314.74971000012	16.344	0.008
5314.789650000166	16.37	0.009
5314.847180000041	16.342	0.008
5314.8846100000665	16.363	0.008
5314.922069999855	16.351	0.007
5315.687479999848	16.36	0.01
5315.735379999969	16.347	0.009
5315.772919999901	16.354	0.008
5315.8106800001115	16.351	0.007
5315.85083999997	16.339	0.008
5315.892969999928	16.341	0.008
5316.678609999828	16.377	0.01
5316.725779999979	16.36	0.009
5316.768819999881	16.361	0.01
5316.806160000153	16.382	0.011
5316.863020000048	16.369	0.013
5319.823170000222	16.339	0.009
5319.866160000209	16.364	0.01
5319.910279999953	16.328	0.01
5320.640930000227	16.354	0.008
5320.685510000214	16.351	0.007
5320.729449999984	16.351	0.007
5320.766640000045	16.36	0.007
5320.804370000027	16.344	0.008
5320.847589999903	16.347	0.008
5320.885989999864	16.347	0.007
5320.927540000062	16.34	0.007
5321.7137299999595	16.361	0.008
5321.7512099999	16.356	0.008
5321.790829999838	16.354	0.007
5321.829239999875	16.343	0.009
5321.870560000185	16.35	0.008
5321.907920000143	16.367	0.008
5322.6942099998705	16.347	0.007
5322.759740000125	16.343	0.006
5322.836800000165	16.343	0.007
5322.907339999918	16.336	0.007
5323.730630000122	16.359	0.008
5323.7689399998635	16.357	0.008
5323.808999999892	16.344	0.007
5323.850310000125	16.353	0.007
5323.888900000136	16.347	0.007
5323.926349999849	16.352	0.007
5324.668659999967	16.368	0.007
5324.7324999999255	16.353	0.007
5324.769859999884	16.354	0.007
5324.808660000097	16.35	0.008
5324.848879999947	16.355	0.008
5324.886150000151	16.365	0.007
5324.926930000074	16.347	0.007
5325.68600000022	16.354	0.007
5325.722500000149	16.363	0.007
5325.760679999832	16.356	0.007
5325.797979999799	16.357	0.007
5325.846210000105	16.345	0.007
5325.886270000134	16.349	0.007
5325.926750000101	16.335	0.007
5326.634060000069	16.336	0.009
5326.720509999897	16.349	0.007
5326.758570000064	16.366	0.007
5326.796980000101	16.346	0.006
5326.836300000083	16.355	0.007
5326.874940000009	16.353	0.007
5326.912169999909	16.344	0.007
5327.643290000036	16.349	0.007
5327.745469999965	16.361	0.007
5327.783910000231	16.359	0.007
5327.822780000046	16.35	0.007
5327.861670000013	16.349	0.008
5327.899830000009	16.355	0.007
5327.9375800001435	16.353	0.009
5328.67061999999	16.355	0.008
5328.739180000033	16.354	0.007
5328.777770000044	16.334	0.007
5328.817720000166	16.359	0.007
5328.8563100001775	16.359	0.007
5328.893980000168	16.36	0.007
5328.931489999872	16.338	0.007
5334.616859999951	16.344	0.008
5334.683009999804	16.327	0.01
5334.763340000063	16.341	0.007
5334.820679999888	16.354	0.007
5334.861219999846	16.357	0.008
5334.901750000194	16.34	0.01
5334.939689999912	16.358	0.009
5335.7460799999535	16.346	0.006
5335.78525000019	16.349	0.007
5335.825290000066	16.365	0.007
5335.863129999954	16.343	0.007
5335.90065999981	16.334	0.008
5335.9397300002165	16.342	0.009
5336.844539999962	16.351	0.007
5336.909789999947	16.336	0.008
5337.7561599998735	16.348	0.006
5337.795570000075	16.349	0.007
5337.833999999799	16.379	0.008
5337.872359999921	16.353	0.009
5337.910980000161	16.368	0.008
5338.753440000117	16.37	0.007
5338.792640000116	16.366	0.008
5338.834259999916	16.343	0.01
5338.8938500001095	16.389	0.01
5339.669079999905	16.351	0.009
5339.706819999963	16.354	0.008
5339.800340000074	16.346	0.008
5339.866210000124	16.361	0.008
5339.906409999821	16.339	0.012
5339.944250000175	16.354	0.009
5340.652999999933	16.345	0.009
5340.692360000219	16.351	0.007
5340.779649999924	16.352	0.01
5340.835219999775	16.359	0.007
5340.873639999889	16.349	0.008
5340.911419999786	16.354	0.01
5341.58545000013	16.348	0.008
5341.623680000193	16.342	0.007
5341.730179999955	16.351	0.007
5341.804459999781	16.353	0.007
5341.842670000158	16.338	0.007
5341.880489999894	16.341	0.007
5341.920849999879	16.352	0.007
5342.595060000196	16.361	0.01
5342.632410000078	16.35	0.009
5342.67004000023	16.363	0.009
5342.7074899999425	16.347	0.008
5342.746019999962	16.333	0.008
5342.790180000011	16.347	0.01
5342.828230000101	16.35	0.008
5342.866200000048	16.354	0.009
5342.903959999792	16.373	0.009
5342.941839999985	16.327	0.011
5343.613270000089	16.356	0.009
5343.650960000232	16.342	0.009
5343.6886800001375	16.344	0.008
5343.726749999914	16.349	0.008
5343.7656000000425	16.351	0.008
5343.805590000004	16.345	0.008
5343.844120000023	16.338	0.008
5343.894919999875	16.343	0.009
5343.932750000153	16.365	0.009
5348.660670000128	16.351	0.007
5348.725889999885	16.343	0.008
5348.7911600000225	16.366	0.008
5348.829489999916	16.349	0.008
5348.873329999857	16.351	0.01
5348.91362999985	16.346	0.008
5349.588959999848	16.339	0.008
5349.67154000001	16.345	0.009
5349.7397500001825	16.35	0.009
5349.804680000059	16.342	0.007
5349.8424800001085	16.361	0.008
5350.642179999966	16.337	0.009
5350.679909999948	16.356	0.009
5350.718410000205	16.325	0.01
5351.5783999999985	16.341	0.008
5351.624470000155	16.345	0.007
5351.701900000218	16.356	0.007
5351.787179999985	16.361	0.007
5351.876889999956	16.353	0.009
5351.914869999979	16.342	0.008
5352.639479999896	16.347	0.008
5352.71426999988	16.36	0.006
5352.800910000224	16.348	0.007
5352.873720000032	16.345	0.008
5352.9112200001255	16.344	0.007
5353.604669999797	16.344	0.007
5353.687239999883	16.351	0.006
5353.768070000224	16.347	0.007
5353.806129999924	16.356	0.007
5353.84365000017	16.347	0.007
5353.894919999875	16.343	0.008
5354.63049999997	16.342	0.007
5354.717709999997	16.357	0.008
5354.814400000032	16.333	0.007
5354.855570000131	16.35	0.007
5354.896219999995	16.349	0.009
5355.57349999994	16.361	0.007
5355.655189999845	16.341	0.007
5355.7419400000945	16.347	0.007
5355.811420000158	16.342	0.007
5355.859680000227	16.347	0.008
5355.897419999819	16.331	0.009
5357.654110000003	16.353	0.008
5357.743850000203	16.361	0.011
5357.831770000048	16.354	0.011
5357.897919999901	16.34	0.007
5358.716039999854	16.346	0.007
5358.817679999862	16.348	0.008
5358.887329999823	16.328	0.009
5359.608359999955	16.363	0.01
5359.655350000132	16.349	0.007
5359.711219999939	16.348	0.008
5359.755479999818	16.357	0.008
5359.800129999872	16.342	0.008
5359.844620000105	16.367	0.008
5359.8851600000635	16.349	0.01
5361.653429999948	16.327	0.009
5362.572269999888	16.343	0.01
5362.632780000102	16.36	0.007
5362.729420000222	16.348	0.007
5362.831830000039	16.356	0.007
5362.847320000175	16.348	0.007
5362.905590000097	16.349	0.01
5364.551299999934	16.352	0.008
5364.609929999802	16.353	0.007
5364.704440000001	16.349	0.008
5364.779260000214	16.351	0.009
5364.818729999941	16.346	0.008
5364.858800000045	16.35	0.008
5364.896910000127	16.357	0.008
5365.569029999897	16.367	0.009
5365.631060000043	16.367	0.008
5365.726119999774	16.339	0.007
5365.814960000105	16.359	0.008
5365.855469999835	16.361	0.008
5365.893819999881	16.344	0.01
5368.644880000036	16.355	0.009
5369.727039999794	16.345	0.009
5369.772359999828	16.358	0.009
5369.810339999851	16.343	0.009
5369.851119999774	16.337	0.008
5376.6569699998945	16.37	0.01
5376.697379999794	16.339	0.008
5376.735570000019	16.347	0.008
5376.774410000071	16.354	0.009
5376.812570000067	16.344	0.009
5376.850500000175	16.351	0.011
