#BJD mag err
112.50515625 1.0022367 0.00632385
112.51512153 1.0042587 0.00632385
112.52508681 1.0020869 0.00632385
112.53505208 0.99841737 0.00632385
112.54501736 0.99594604 0.00632385
112.55498264 0.98883161 0.00632385
112.56494792 0.99845482 0.00632385
112.57491319 0.99852971 0.00632385
112.58487847 1.0023865 0.00632385
112.59484375 0.97947051 0.00632385
112.60480903 0.99366194 0.00632385
112.61477431 1.0050825 0.00632385
112.62473958 0.99040427 0.00632385
112.63470486 1.0056441 0.00632385
112.64467014 1.0017499 0.00632385
112.65463542 1.0051574 0.00632385
112.66460069 0.9996156 0.00632385
112.67456597 1.0034349 0.00632385
112.68453125 1.0032103 0.00632385
112.69449653 0.99081616 0.00632385
112.70446181 1.0033975 0.00632385
112.71442708 1.0055693 0.00632385
112.72439236 1.0028733 0.00632385
112.73435764 0.99695704 0.00632385
112.74432292 0.99609582 0.00632385
112.75428819 0.98684706 0.00632385
112.76425347 1.0041089 0.00632385
112.77421875 0.99819271 0.00632385
112.78418403 0.99680727 0.00632385
112.79414931 0.9986046 0.00632385
112.80411458 0.99819271 0.00632385
112.81407986 1.0023865 0.00632385
112.82404514 1.0117101 0.00632385
112.83401042 1.0005143 0.00632385
112.84397569 0.99036683 0.00632385
112.85394097 1.0153048 0.00632385
112.86390625 0.99512227 0.00632385
112.87387153 1.002349 0.00632385
112.88383681 1.0120097 0.00632385
112.89380208 0.9965826 0.00632385
112.90376736 1.0024614 0.00632385
112.91373264 1.0017499 0.00632385
112.92369792 1.0024239 0.00632385
112.93366319 1.0072168 0.00632385
112.94362847 1.0010759 0.00632385
112.95359375 1.0005891 0.00632385
112.96355903 1.0034724 0.00632385
112.97352431 1.0285601 0.00632385
113.01006366 0.98673472 0.00632385
113.02002894 0.99703193 0.00632385
113.02999421 0.99796804 0.00632385
113.03995949 0.98673472 0.00632385
113.04992477 0.99373683 0.00632385
113.05989005 1.0028733 0.00632385
113.06985532 0.99669493 0.00632385
113.0798206 0.99766849 0.00632385
113.08978588 1.0108864 0.00632385
113.09975116 1.0078534 0.00632385
113.10971644 0.99392405 0.00632385
113.11968171 1.000327 0.00632385
113.12964699 0.99897904 0.00632385
113.13961227 1.0066551 0.00632385
113.14957755 0.98946816 0.00632385
113.15954282 0.99699449 0.00632385
113.1695081 0.99796804 0.00632385
113.17947338 1.001001 0.00632385
113.18943866 0.99647027 0.00632385
113.19940394 0.99471038 0.00632385
113.20936921 1.0081155 0.00632385
113.21933449 1.0105119 0.00632385
113.22929977 0.99699449 0.00632385
113.23926505 0.99403638 0.00632385
113.24923032 1.0089393 0.00632385
113.2591956 1.0038843 0.00632385
113.26916088 1.005719 0.00632385
113.27912616 0.99265094 0.00632385
113.28909144 1.00336 0.00632385
113.29905671 1.0082653 0.00632385
113.30902199 0.99163994 0.00632385
113.31898727 0.99572138 0.00632385
113.32895255 0.99463549 0.00632385
113.33891782 0.99980282 0.00632385
113.3488831 0.99182716 0.00632385
113.35884838 0.99823015 0.00632385
113.36881366 1.0117476 0.00632385
113.37877894 0.99946582 0.00632385
113.38874421 1.0034724 0.00632385
113.39870949 0.98935583 0.00632385
113.40867477 0.99721915 0.00632385
113.41864005 0.99875437 0.00632385
113.42860532 0.98774572 0.00632385
113.4385706 0.99864204 0.00632385
113.44853588 0.99444827 0.00632385
113.45850116 1.0047455 0.00632385
113.46846644 0.99074127 0.00632385
113.50500579 0.99969048 0.00632385
113.51497106 0.99392405 0.00632385
113.52493634 1.0119348 0.00632385
113.53490162 0.99482271 0.00632385
113.5448669 1.0064305 0.00632385
113.55483218 0.98665983 0.00632385
113.56479745 1.0033226 0.00632385
113.57476273 0.99931604 0.00632385
113.58472801 1.0098379 0.00632385
113.59469329 0.99991515 0.00632385
113.60465856 0.9999526 0.00632385
113.61462384 1.015155 0.00632385
113.62458912 0.99223905 0.00632385
113.6345544 0.99467294 0.00632385
113.64451968 0.9945606 0.00632385
113.65448495 1.007067 0.00632385
113.66445023 1.001338 0.00632385
113.67441551 1.0056067 0.00632385
113.68438079 1.0078159 0.00632385
113.69434606 0.9986046 0.00632385
113.70431134 0.99912882 0.00632385
113.71427662 1.0068049 0.00632385
113.7242419 1.0027235 0.00632385
113.73420718 1.0085274 0.00632385
113.74417245 0.99459805 0.00632385
113.75413773 1.0057939 0.00632385
113.76410301 1.0020869 0.00632385
113.77406829 0.98973027 0.00632385
113.78403356 0.99504738 0.00632385
113.79399884 0.99935348 0.00632385
113.80396412 0.99220161 0.00632385
113.8139294 1.0033226 0.00632385
113.82389468 0.99572138 0.00632385
113.83385995 0.99542182 0.00632385
113.84382523 0.99819271 0.00632385
113.85379051 1.0007764 0.00632385
113.86375579 0.99152761 0.00632385
113.87372106 1.0019371 0.00632385
113.88368634 1.008415 0.00632385
113.89365162 0.98242862 0.00632385
113.9036169 1.009089 0.00632385
113.91358218 1.0001024 0.00632385
113.92354745 1.0001773 0.00632385
113.93351273 0.99796804 0.00632385
113.94347801 0.99572138 0.00632385
113.95344329 0.99635793 0.00632385
113.96340856 0.98665983 0.00632385
113.97337384 0.99504738 0.00632385
114.00991319 0.9982676 0.00632385
114.01987847 1.0030605 0.00632385
114.02984375 1.0005891 0.00632385
114.03980903 1.0042961 0.00632385
114.04977431 0.99635793 0.00632385
114.05973958 0.99984026 0.00632385
114.06970486 1.0099502 0.00632385
114.07967014 1.0054569 0.00632385
114.08963542 1.0002896 0.00632385
114.09960069 1.0109987 0.00632385
114.10956597 0.99598349 0.00632385
114.11953125 0.99920371 0.00632385
114.12949653 0.99208927 0.00632385
114.13946181 1.0035098 0.00632385
114.14942708 1.0022367 0.00632385
114.15939236 1.0064679 0.00632385
114.16935764 1.0029856 0.00632385
114.17932292 0.99280072 0.00632385
114.18928819 0.99373683 0.00632385
114.19925347 0.99751871 0.00632385
114.20921875 0.99830504 0.00632385
114.21918403 0.99714427 0.00632385
114.22914931 0.98984261 0.00632385
114.23911458 1.001338 0.00632385
114.24907986 1.0008887 0.00632385
114.25904514 1.0000275 0.00632385
114.26901042 1.0080031 0.00632385
114.27897569 1.0079283 0.00632385
114.28894097 0.99714427 0.00632385
114.29890625 1.0130581 0.00632385
114.30887153 0.9905915 0.00632385
114.31883681 0.99815526 0.00632385
114.32880208 0.98684706 0.00632385
114.33876736 0.99957815 0.00632385
114.34873264 0.9905915 0.00632385
114.35869792 0.99909137 0.00632385
114.36866319 0.99654516 0.00632385
114.37862847 1.0081904 0.00632385
114.38859375 0.99568393 0.00632385
114.39855903 1.0087146 0.00632385
114.40852431 0.99497249 0.00632385
114.41848958 0.99609582 0.00632385
114.42845486 1.0037719 0.00632385
114.43842014 0.99800549 0.00632385
114.44838542 0.99145272 0.00632385
